Latitude,Longitude,Source File,Stop Name,Line,Distance (m)
40.744081,-73.995657,MTA_Subway.csv,23 St,Broadway - 7Av,0
40.74104,-73.997871,MTA_Subway.csv,18 St,Broadway - 7Av,0
40.737826,-74.000201,MTA_Subway.csv,14 St,Broadway - 7Av,0
40.733422,-74.002906,MTA_Subway.csv,Christopher St-Stonewall,Broadway - 7Av,0
40.728251,-74.005367,MTA_Subway.csv,Houston St,Broadway - 7Av,0
40.722854,-74.006277,MTA_Subway.csv,Canal St,Broadway - 7Av,0
40.719318,-74.006886,MTA_Subway.csv,Franklin St,Broadway - 7Av,0
40.715478,-74.009266,MTA_Subway.csv,Chambers St,Broadway - 7Av,0
40.711835,-74.012188,MTA_Subway.csv,WTC Cortlandt,Broadway - 7Av,0
40.707513,-74.013783,MTA_Subway.csv,Rector St,Broadway - 7Av,0
40.702068,-74.013664,MTA_Subway.csv,South Ferry,Broadway - 7Av,0
40.713051,-74.008811,MTA_Subway.csv,Park Place,Clark St,0
40.709416,-74.006571,MTA_Subway.csv,Fulton St,Clark St,0
40.706821,-74.0091,MTA_Subway.csv,Wall St,Clark St,0
40.697466,-73.993086,MTA_Subway.csv,Clark St,Clark St,0
40.693219,-73.989998,MTA_Subway.csv,Borough Hall,Clark St,0
40.690545,-73.985065,MTA_Subway.csv,Hoyt St,Eastern Pky,0
40.688246,-73.980492,MTA_Subway.csv,Nevins St,Eastern Pky,0
40.684359,-73.977666,MTA_Subway.csv,Atlantic Av-Barclays Ctr,Eastern Pky,0
40.680829,-73.975098,MTA_Subway.csv,Bergen St,Eastern Pky,0
40.675235,-73.971046,MTA_Subway.csv,Grand Army Plaza,Eastern Pky,0
40.671987,-73.964375,MTA_Subway.csv,Eastern Pkwy-Brooklyn Museum,Eastern Pky,0
40.670682,-73.958131,MTA_Subway.csv,Franklin Av-Medgar Evers College,Eastern Pky,0
40.669847,-73.950466,MTA_Subway.csv,Nostrand Av,Eastern Pky,0
40.669399,-73.942161,MTA_Subway.csv,Kingston Av,Eastern Pky,0
40.668897,-73.932942,MTA_Subway.csv,Crown Hts-Utica Av,Eastern Pky,0
40.664717,-73.92261,MTA_Subway.csv,Sutter Av-Rutland Rd,Eastern Pky,0
40.661453,-73.916327,MTA_Subway.csv,Saratoga Av,Eastern Pky,0
